variable;jahr;semester;bachelor;master;gesamt
studierende_gesamt;2016;WiSe;1660;770;2484
studierende_regelstudienzeit;2016;WiSe;1352;521;1924
erstsemester;2016;WiSe;475;173;662
studierende_weiblich;2016;WiSe;686;336;1040
studierende_maennlich;2016;WiSe;974;434;1444
studierende_auslaendisch;2016;WiSe;128;89;237
exmatrikulationen;2016;WiSe;206;113;348
studierende_gesamt;2016;SoSe;1478;813;2352
studierende_regelstudienzeit;2016;SoSe;1231;562;1853
erstsemester;2016;SoSe;0;144;163
studierende_weiblich;2016;SoSe;613;353;987
studierende_maennlich;2016;SoSe;865;460;1365
studierende_auslaendisch;2016;SoSe;110;93;231
exmatrikulationen;2016;SoSe;149;102;266
studierende_gesamt;2017;WiSe;1845;866;2772
studierende_regelstudienzeit;2017;WiSe;1469;577;2107
erstsemester;2017;WiSe;635;196;852
studierende_weiblich;2017;WiSe;746;379;1146
studierende_maennlich;2017;WiSe;1099;487;1626
studierende_auslaendisch;2017;WiSe;164;101;294
exmatrikulationen;2017;WiSe;185;133;340
studierende_gesamt;2017;SoSe;1607;833;2513
studierende_regelstudienzeit;2017;SoSe;1341;549;1963
erstsemester;2017;SoSe;0;117;139
studierende_weiblich;2017;SoSe;639;368;1034
studierende_maennlich;2017;SoSe;968;465;1479
studierende_auslaendisch;2017;SoSe;148;104;288
exmatrikulationen;2017;SoSe;188;133;332
studierende_gesamt;2018;WiSe;1913;847;2837
studierende_regelstudienzeit;2018;WiSe;1473;532;2082
erstsemester;2018;WiSe;598;175;801
studierende_weiblich;2018;WiSe;753;356;1137
studierende_maennlich;2018;WiSe;1160;491;1700
studierende_auslaendisch;2018;WiSe;179;108;326
exmatrikulationen;2018;WiSe;205;123;352
studierende_gesamt;2018;SoSe;1672;820;2559
studierende_regelstudienzeit;2018;SoSe;1343;512;1922
erstsemester;2018;SoSe;1;122;141
studierende_weiblich;2018;SoSe;651;342;1013
studierende_maennlich;2018;SoSe;1021;478;1546
studierende_auslaendisch;2018;SoSe;157;101;289
exmatrikulationen;2018;SoSe;195;147;364
studierende_gesamt;2019;WiSe;1834;833;2733
studierende_regelstudienzeit;2019;WiSe;1439;480;1985
erstsemester;2019;WiSe;561;170;748
studierende_weiblich;2019;WiSe;708;358;1087
studierende_maennlich;2019;WiSe;1126;475;1646
studierende_auslaendisch;2019;WiSe;163;107;301
exmatrikulationen;2019;WiSe;293;136;446
studierende_gesamt;2019;SoSe;1532;790;2384
studierende_regelstudienzeit;2019;SoSe;1257;488;1807
erstsemester;2019;SoSe;1;118;138
studierende_weiblich;2019;SoSe;591;349;953
studierende_maennlich;2019;SoSe;941;441;1431
studierende_auslaendisch;2019;SoSe;134;110;272
exmatrikulationen;2019;SoSe;248;152;416
studierende_gesamt;2020;WiSe;1614;794;2468
studierende_regelstudienzeit;2020;WiSe;1282;476;1818
erstsemester;2020;WiSe;450;166;634
studierende_weiblich;2020;WiSe;624;357;999
studierende_maennlich;2020;WiSe;990;437;1469
studierende_auslaendisch;2020;WiSe;154;115;296
exmatrikulationen;2020;WiSe;264;144;426
studierende_gesamt;2020;SoSe;1343;787;2179
studierende_regelstudienzeit;2020;SoSe;1079;489;1635
erstsemester;2020;SoSe;2;134;142
studierende_weiblich;2020;SoSe;514;357;885
studierende_maennlich;2020;SoSe;829;430;1294
studierende_auslaendisch;2020;SoSe;129;128;276
exmatrikulationen;2020;SoSe;220;137;374
studierende_gesamt;2021;WiSe;1509;888;2571
studierende_regelstudienzeit;2021;WiSe;1142;564;1880
erstsemester;2021;WiSe;455;227;822
studierende_weiblich;2021;WiSe;561;413;1054
studierende_maennlich;2021;WiSe;948;475;1517
studierende_auslaendisch;2021;WiSe;143;144;435
exmatrikulationen;2021;WiSe;204;123;341
studierende_gesamt;2021;SoSe;1397;867;2363
studierende_regelstudienzeit;2021;SoSe;1138;556;1793
erstsemester;2021;SoSe;93;132;273
studierende_weiblich;2021;SoSe;502;402;952
studierende_maennlich;2021;SoSe;895;465;1411
studierende_auslaendisch;2021;SoSe;127;140;341
exmatrikulationen;2021;SoSe;155;139;415
studierende_gesamt;2022;WiSe;1386;867;2386
studierende_regelstudienzeit;2022;WiSe;974;552;1659
erstsemester;2022;WiSe;283;182;556
studierende_weiblich;2022;WiSe;501;403;972
studierende_maennlich;2022;WiSe;885;464;1414
studierende_auslaendisch;2022;WiSe;130;151;393
exmatrikulationen;2022;WiSe;215;159;434
studierende_gesamt;2022;SoSe;1281;842;2271
studierende_regelstudienzeit;2022;SoSe;969;533;1650
erstsemester;2022;SoSe;88;114;313
studierende_weiblich;2022;SoSe;471;390;947
studierende_maennlich;2022;SoSe;810;452;1324
studierende_auslaendisch;2022;SoSe;123;159;409
exmatrikulationen;2022;SoSe;150;132;375
studierende_gesamt;2023;WiSe;1290;790;2208
studierende_regelstudienzeit;2023;WiSe;860;447;1435
erstsemester;2023;WiSe;246;118;453
studierende_weiblich;2023;WiSe;472;365;905
studierende_maennlich;2023;WiSe;818;425;1303
studierende_auslaendisch;2023;WiSe;123;152;385
exmatrikulationen;2023;WiSe;177;163;453
studierende_gesamt;2023;SoSe;1317;735;2208
studierende_regelstudienzeit;2023;SoSe;982;403;1535
erstsemester;2023;SoSe;149;86;346
studierende_weiblich;2023;SoSe;494;335;900
studierende_maennlich;2023;SoSe;823;400;1308
studierende_auslaendisch;2023;SoSe;127;150;415
exmatrikulationen;2023;SoSe;102;141;330
studierende_gesamt;2024;WiSe;1419;790;2287
studierende_regelstudienzeit;2024;WiSe;971;483;1526
erstsemester;2024;WiSe;364;258;665
studierende_weiblich;2024;WiSe;526;337;912
studierende_maennlich;2024;WiSe;893;453;1375
studierende_auslaendisch;2024;WiSe;130;177;369
exmatrikulationen;2024;WiSe;197;168;487
studierende_gesamt;2024;SoSe;1429;798;2315
studierende_regelstudienzeit;2024;SoSe;1048;550;1680
erstsemester;2024;SoSe;205;174;428
studierende_weiblich;2024;SoSe;528;350;926
studierende_maennlich;2024;SoSe;901;448;1389
studierende_auslaendisch;2024;SoSe;133;188;392
exmatrikulationen;2024;SoSe;146;150;340
studierende_gesamt;2025;WiSe;1480;1113;2654
studierende_regelstudienzeit;2025;WiSe;1106;904;2071
erstsemester;2025;WiSe;455;541;1032
studierende_weiblich;2025;WiSe;581;446;1053
studierende_maennlich;2025;WiSe;899;667;1601
studierende_auslaendisch;2025;WiSe;133;522;701
exmatrikulationen;2025;WiSe;;;
studierende_gesamt;2025;SoSe;1531;1079;2674
studierende_regelstudienzeit;2025;SoSe;1210;915;2189
erstsemester;2025;SoSe;271;191;499
studierende_weiblich;2025;SoSe;625;438;1097
studierende_maennlich;2025;SoSe;906;641;1577
studierende_auslaendisch;2025;SoSe;139;460;645
exmatrikulationen;2025;SoSe;;;